Graded Commit:4e8c87aaca679d28acf9cf417ccb63773ec71a18

TEST NAME, POINTS,OUT OF
args_suite/args,1,1,
blackbox_suite/all_failed,1,1,
blackbox_suite/askname,1,1,
blackbox_suite/context,1,1,
blackbox_suite/context_multi,1,1,
blackbox_suite/garbage_diff,1,1,
blackbox_suite/nonexistent_diff_file,1,1,
blackbox_suite/nonexistent_input_file,1,1,
blackbox_suite/normal,1,1,
ifile_suite/ifile_plan_a,1,1,
ifile_suite/ifile_plan_b,1,1,
longopt_suite/garbage_after_plus,1,1,
longopt_suite/optarg_plus,1,1,
longopt_suite/output_file_longopt,1,1,
longopt_suite/output_file_longopt_no_arg,1,1,
longopt_suite/pathname_longopt,1,1,
longopt_suite/reject_file_longopt_no_arg,1,1,
longopt_suite/reject_file_longopt_with_arg,1,1,
patch_suite/locate_hunk,1,1,
pfile_suite/pfile_context,1,1,
pfile_suite/pfile_normal,1,1,
valgrind_suite/valgrind_all_failed,1,1,
valgrind_suite/valgrind_context_multi,1,1,
valgrind_suite/valgrind_garbage_diff,1,1,
valgrind_suite/valgrind_normal,1,1,
total,25,25
